,loss,val_acc,_timestamp,_time_this_iter_s,_training_iteration,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/train_loop_config/batch_size,config/train_loop_config/dataset,config/train_loop_config/gamma,config/train_loop_config/lr,config/train_loop_config/momentum,config/train_loop_config/seed,logdir
0,0.3811012257503557,0.8899,1682383658,8.73117733001709,50,8.730250120162964,True,,,50,befae_00000,c8fa647565e845919d6564ed7a1a75e2,2023-04-25_08-47-38,1682383658,439.4600932598114,3752353,slabgpu03,10.100.79.96,439.4600932598114,0,50,0.101011037826538,128,cifar10,0.4,0.1217,0.51,10,"/home/qhhu/ray_results/TorchTrainer_2023-04-25_08-40-15/TorchTrainer_befae_00000_0_batch_size=128,gamma=0.4000,lr=0.1217,momentum=0.5100_2023-04-25_08-40-16"
1,0.3388730309903621,0.9088,1682383505,5.764024496078491,50,5.7660112380981445,True,,,50,befae_00001,f275db5f628a4e5cbf2aa6090745d653,2023-04-25_08-45-05,1682383505,283.3391351699829,3752641,slabgpu03,10.100.79.96,283.3391351699829,0,50,0.1214358806610107,256,cifar10,0.19,0.2126,0.791,10,"/home/qhhu/ray_results/TorchTrainer_2023-04-25_08-40-15/TorchTrainer_befae_00001_1_batch_size=256,gamma=0.1900,lr=0.2126,momentum=0.7910_2023-04-25_08-40-19"
2,0.3194581002374239,0.9161,1682383623,7.739729404449463,50,7.740270853042602,True,,,50,befae_00002,cd42f867317941f2aaff6d23ec0db78d,2023-04-25_08-47-03,1682383623,401.1421782970429,3752642,slabgpu03,10.100.79.96,401.1421782970429,0,50,0.1219420433044433,128,cifar10,0.14,0.1102,0.584,10,"/home/qhhu/ray_results/TorchTrainer_2023-04-25_08-40-15/TorchTrainer_befae_00002_2_batch_size=128,gamma=0.1400,lr=0.1102,momentum=0.5840_2023-04-25_08-40-19"
3,0.4345032170414925,0.8686,1682383483,5.108433246612549,50,5.239410161972046,True,,,50,befae_00003,c988e0ca5ede47bcb1b8c50ab752e454,2023-04-25_08-44-43,1682383483,261.27824807167053,3752643,slabgpu03,10.100.79.96,261.27824807167053,0,50,0.1168978214263916,512,cifar10,0.8,0.054400000000000004,0.907,10,"/home/qhhu/ray_results/TorchTrainer_2023-04-25_08-40-15/TorchTrainer_befae_00003_3_batch_size=512,gamma=0.8000,lr=0.0544,momentum=0.9070_2023-04-25_08-40-19"
4,0.6872687950918946,0.7584,1682383905,7.900860071182251,50,7.774746894836426,True,,,50,befae_00004,4527b6c6bf2b47d98430bf63a1464955,2023-04-25_08-51-45,1682383905,416.3735120296478,3948466,slabgpu03,10.100.79.96,416.3735120296478,0,50,0.1433045864105224,128,cifar10,0.27,0.0006000000000000001,0.515,10,"/home/qhhu/ray_results/TorchTrainer_2023-04-25_08-40-15/TorchTrainer_befae_00004_4_batch_size=128,gamma=0.2700,lr=0.0006,momentum=0.5150_2023-04-25_08-44-44"
5,0.5239683486521244,0.8298,1682383782,5.107897520065308,50,4.994519233703613,True,,,50,befae_00005,6bf0bc9a837a42f48ca46bcabc7aac41,2023-04-25_08-49-42,1682383782,273.1105637550354,3960820,slabgpu03,10.100.79.96,273.1105637550354,0,50,0.1141924858093261,256,cifar10,0.38,0.46890000000000004,0.857,10,"/home/qhhu/ray_results/TorchTrainer_2023-04-25_08-40-15/TorchTrainer_befae_00005_5_batch_size=256,gamma=0.3800,lr=0.4689,momentum=0.8570_2023-04-25_08-45-05"
6,0.3981562733650207,0.8882,1682383893,5.126882791519165,50,5.127818584442139,True,,,50,befae_00006,50906785964f469cb1fa7eee6118187c,2023-04-25_08-51-33,1682383893,264.84643292427063,4039350,slabgpu03,10.100.79.96,264.84643292427063,0,50,0.1440539360046386,512,cifar10,0.4,0.1303,0.791,10,"/home/qhhu/ray_results/TorchTrainer_2023-04-25_08-40-15/TorchTrainer_befae_00006_6_batch_size=512,gamma=0.4000,lr=0.1303,momentum=0.7910_2023-04-25_08-47-04"
7,0.3535710571310188,0.8934,1682384055,7.751929521560669,50,7.753757476806641,True,,,50,befae_00007,0e625f6a042148d29058006179eccd77,2023-04-25_08-54-15,1682384055,393.09177899360657,4063856,slabgpu03,10.100.79.96,393.09177899360657,0,50,0.1358857154846191,128,cifar10,0.07,0.0054,0.808,10,"/home/qhhu/ray_results/TorchTrainer_2023-04-25_08-40-15/TorchTrainer_befae_00007_7_batch_size=128,gamma=0.0700,lr=0.0054,momentum=0.8080_2023-04-25_08-47-39"
8,0.9225894778966904,0.6684,1682384040,5.035632371902466,50,4.981824159622192,True,,,50,befae_00008,fea1b173476c4ed4925ba1554ed0f07e,2023-04-25_08-54-00,1682384040,253.74672937393188,4157411,slabgpu03,10.100.79.96,253.74672937393188,0,50,0.115375280380249,512,cifar10,0.47000000000000003,0.0002,0.882,10,"/home/qhhu/ray_results/TorchTrainer_2023-04-25_08-40-15/TorchTrainer_befae_00008_8_batch_size=512,gamma=0.4700,lr=0.0002,momentum=0.8820_2023-04-25_08-49-43"
9,0.3861579805612564,0.8957,1682384164,5.035191774368286,50,5.16569972038269,True,,,50,befae_00009,01d2b3e21f2c48fdbb40447c7700faba,2023-04-25_08-56-04,1682384164,266.5641005039215,47576,slabgpu03,10.100.79.96,266.5641005039215,0,50,0.1131820678710937,512,cifar10,0.28,0.43110000000000004,0.659,10,"/home/qhhu/ray_results/TorchTrainer_2023-04-25_08-40-15/TorchTrainer_befae_00009_9_batch_size=512,gamma=0.2800,lr=0.4311,momentum=0.6590_2023-04-25_08-51-34"
