,Unnamed: 0,loss,val_acc,_timestamp,_time_this_iter_s,_training_iteration,time_this_iter_s,done,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/train_loop_config/FUSION_N,config/train_loop_config/SCALING_N,config/train_loop_config/batch_size,config/train_loop_config/dataset,config/train_loop_config/gamma,config/train_loop_config/lr,config/train_loop_config/momentum,config/train_loop_config/seed,logdir
0,0,0.3148404673873624,0.9162,1682382041,7.712783575057983,50,7.785046815872192,True,50,b38f6_T0001,1a808e3489fc4b4282c2cd13ba838d96,2023-04-25_08-20-42,1682382042,384.4958300590515,3657182,slabgpu03,10.100.79.96,384.4958300590515,0,50,0.1237037181854248,0,0,128,cifar10,0.14,0.1102,0.584,10,/home/qhhu/ray_results/HydroTrainer_b38f6_T0001_hydro_2023-04-25_08-14-13
1,1,0.3125548660755157,0.9057,1682381326,5.474350929260254,50,5.475727081298828,True,50,b38f6_T0000,f461a1840e0040ae90af1593209eb354,2023-04-25_08-08-46,1682381326,279.4525213241577,3479472,slabgpu03,10.100.79.96,279.4525213241577,0,50,0.1077792644500732,0,0,512,cifar10,0.05,0.1827,0.846,10,/home/qhhu/ray_results/HydroTrainer_b38f6_T0000_hydro_2023-04-25_08-04-02
2,2,0.941994309425354,0.677299976348877,1682381050,8.647028684616089,50,8.646995306015015,True,50,b38f6_F0000,24fc2ed6ad0a4c3d9b965380ec6b13d8,2023-04-25_08-04-10,1682381050,427.16589975357056,3223763,slabgpu03,10.100.79.96,427.16589975357056,0,50,0.1012880802154541,9,8,256,cifar10,0.74,0.0204,0.584,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0000_hydro_2023-04-25_07-56-59
3,2,1.9589003324508667,0.47609999775886536,1682381050,8.647028684616089,50,8.646995306015015,True,50,b38f6_F0000,24fc2ed6ad0a4c3d9b965380ec6b13d8,2023-04-25_08-04-10,1682381050,427.16589975357056,3223763,slabgpu03,10.100.79.96,427.16589975357056,0,50,0.1012880802154541,9,8,256,cifar10,0.38,0.46890000000000004,0.857,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0000_hydro_2023-04-25_07-56-59
4,2,0.8761715888977051,0.7020999789237976,1682381050,8.647028684616089,50,8.646995306015015,True,50,b38f6_F0000,24fc2ed6ad0a4c3d9b965380ec6b13d8,2023-04-25_08-04-10,1682381050,427.16589975357056,3223763,slabgpu03,10.100.79.96,427.16589975357056,0,50,0.1012880802154541,9,8,256,cifar10,0.19,0.2126,0.791,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0000_hydro_2023-04-25_07-56-59
5,2,0.802900493144989,0.7177000045776367,1682381050,8.647028684616089,50,8.646995306015015,True,50,b38f6_F0000,24fc2ed6ad0a4c3d9b965380ec6b13d8,2023-04-25_08-04-10,1682381050,427.16589975357056,3223763,slabgpu03,10.100.79.96,427.16589975357056,0,50,0.1012880802154541,9,8,256,cifar10,0.04,0.0179,0.65,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0000_hydro_2023-04-25_07-56-59
6,2,2.234635353088379,0.19200000166893005,1682381050,8.647028684616089,50,8.646995306015015,True,50,b38f6_F0000,24fc2ed6ad0a4c3d9b965380ec6b13d8,2023-04-25_08-04-10,1682381050,427.16589975357056,3223763,slabgpu03,10.100.79.96,427.16589975357056,0,50,0.1012880802154541,9,8,256,cifar10,0.28,0.0001,0.678,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0000_hydro_2023-04-25_07-56-59
7,2,1.012998104095459,0.636900007724762,1682381050,8.647028684616089,50,8.646995306015015,True,50,b38f6_F0000,24fc2ed6ad0a4c3d9b965380ec6b13d8,2023-04-25_08-04-10,1682381050,427.16589975357056,3223763,slabgpu03,10.100.79.96,427.16589975357056,0,50,0.1012880802154541,9,8,256,cifar10,0.35000000000000003,0.0021000000000000003,0.886,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0000_hydro_2023-04-25_07-56-59
8,2,1.0490301847457886,0.6466000080108643,1682381050,8.647028684616089,50,8.646995306015015,True,50,b38f6_F0000,24fc2ed6ad0a4c3d9b965380ec6b13d8,2023-04-25_08-04-10,1682381050,427.16589975357056,3223763,slabgpu03,10.100.79.96,427.16589975357056,0,50,0.1012880802154541,9,8,256,cifar10,0.81,0.011300000000000001,0.742,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0000_hydro_2023-04-25_07-56-59
9,2,1.3390990495681763,0.5230000019073486,1682381050,8.647028684616089,50,8.646995306015015,True,50,b38f6_F0000,24fc2ed6ad0a4c3d9b965380ec6b13d8,2023-04-25_08-04-10,1682381050,427.16589975357056,3223763,slabgpu03,10.100.79.96,427.16589975357056,0,50,0.1012880802154541,9,8,256,cifar10,0.16,0.30870000000000003,0.991,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0000_hydro_2023-04-25_07-56-59
10,2,0.6945245862007141,0.7605999708175659,1682381050,8.647028684616089,50,8.646995306015015,True,50,b38f6_F0000,24fc2ed6ad0a4c3d9b965380ec6b13d8,2023-04-25_08-04-10,1682381050,427.16589975357056,3223763,slabgpu03,10.100.79.96,427.16589975357056,0,50,0.1012880802154541,9,8,256,cifar10,0.32,0.015000000000000001,0.86,10,/home/qhhu/ray_results/HydroTrainer_b38f6_F0000_hydro_2023-04-25_07-56-59
